"","time","warn_type","housing","prop","prop_se","shelter","shelter_se"
"1","day","extended","Mobile",0.284405931338742,0.109330028559828,0.284405931338742,0.109330028559828
"2","day","standard","Mobile",0.209704494541515,0.0952593369083307,0.209704494541515,0.0952593369083307
"3","night","extended","Mobile",0.359107368135969,0.117519991865222,0.359107368135969,0.117519991865222
"4","night","standard","Mobile",0.0596480648689279,0.0578337504330176,0.0596480648689279,0.0578337504330176
"5","day","extended","Permanent",0.900546770667839,0.0152917187194334,0.542711314402209,0.0249780536447301
"6","day","standard","Permanent",0.904491422414619,0.0135759649520209,0.573480323661282,0.0253515046409975
"7","night","extended","Permanent",0.857812516852173,0.0159341042246617,0.554063479629424,0.0248179433456614
"8","night","standard","Permanent",0.784855263635607,0.0196371351855663,0.557037793619244,0.025208166496961
