pilot,zip,statefips,countyfips,EmbeddedDataBid,ExternalDataReference,stratas,groupn,language
1,33135,12,86,4,1002391,3,13,English
1,36330,1,31,64,306231,2,12,English
1,67217,20,173,16,993080,2,12,English
1,92254,6,65,64,854731,1,11,English
1,74631,40,71,4,22882,2,12,English
1,29464,45,19,96,860322,2,12,English
1,45150,39,25,96,265761,2,12,English
1,93219,6,107,32,162997,1,11,English
1,92231,6,25,96,328903,1,11,English
1,44824,39,43,64,513949,2,12,English
1,32221,12,31,96,638808,2,12,English
1,77354,48,339,4,601081,2,12,English
1,93640,6,19,240,182255,1,11,English
1,93640,6,19,240,297956,1,11,English
1,94306,6,85,16,557009,0,10,English
1,78040,48,479,64,238840,7,13,English
1,73106,40,109,240,38844,6,13,English
1,33010,12,86,240,687365,3,13,English
1,77011,48,201,32,991950,7,13,English
1,33013,12,86,240,263901,3,13,English
1,92236,6,65,240,516021,1,11,English
1,55804,27,137,96,472655,0,10,English
1,60088,17,97,64,616007,2,12,English
1,33558,12,57,96,256026,2,12,English
1,33126,12,86,16,475892,3,13,English
1,77037,48,201,32,727800,7,13,English
1,77550,48,167,16,344500,2,12,English
1,60623,17,31,96,967230,5,13,English
1,11385,36,81,96,525061,0,10,English
1,77076,48,201,4,456081,7,13,English
1,80014,8,31,4,872494,0,10,English
1,26508,54,61,4,449524,0,10,English
1,97123,41,67,240,816062,0,10,English
1,78582,48,427,64,366230,7,13,English
1,34243,12,81,64,214061,2,12,English
1,6010,9,3,64,804349,0,10,English
1,1840,25,9,64,29662,1,11,English
1,60623,17,31,16,131320,5,13,English
1,15411,42,111,32,579539,0,10,English
1,33183,12,86,4,475739,3,13,English
1,92231,6,25,64,355059,1,11,English
1,71220,22,67,64,302994,2,12,English
1,35630,1,77,64,189706,2,12,English
1,79905,48,141,64,701491,7,13,English
1,33013,12,86,16,984110,3,13,English
1,68803,31,79,16,398613,2,12,English
1,33135,12,86,32,283830,3,13,English
1,42301,21,59,32,784844,2,12,English
1,18701,42,79,16,304524,0,10,English
1,93640,6,19,16,964511,1,11,English
1,76164,48,439,4,381733,7,13,English
1,33012,12,86,32,947242,3,13,English
1,43209,39,49,4,617137,2,12,English
1,46939,18,49,16,616160,2,12,English
1,76106,48,439,32,892211,7,13,English
1,93458,6,83,64,910857,1,11,English
1,33013,12,86,240,860016,3,13,English
1,28560,37,49,96,716970,0,10,English
1,60040,17,97,32,135593,2,12,English
1,78557,48,215,4,445887,7,13,English
1,33013,12,86,96,32499,3,13,English
1,78040,48,479,64,994269,7,13,English
1,33010,12,86,32,242995,3,13,English
1,79905,48,141,64,114593,7,13,English
1,3862,33,15,4,84140,0,10,English
1,33135,12,86,64,923558,3,13,English
1,33142,12,86,32,18032,3,13,English
1,75211,48,113,32,532595,7,13,English
1,56258,27,83,96,72722,0,10,English
1,80033,8,59,96,561435,0,10,English
1,92708,6,59,32,233437,0,10,English
1,33128,12,86,32,716511,3,13,English
1,33014,12,86,16,425687,3,13,English
1,30076,13,121,240,658219,2,12,English
1,10033,36,61,32,531806,1,11,English
1,53913,55,111,240,177558,2,12,English
1,17901,42,107,32,99949,0,10,English
1,3818,33,3,32,261888,0,10,English
1,33010,12,86,32,820676,3,13,English
1,60622,17,31,4,522036,2,12,English
1,70706,22,63,64,195686,2,12,English
1,93274,6,107,32,901640,1,11,English
1,76117,48,439,16,563542,2,12,English
1,92236,6,65,4,196569,1,11,English
1,93660,6,19,4,982945,1,11,English
1,33126,12,86,16,954658,3,13,English
1,78520,48,61,32,409843,7,13,English
1,75237,48,113,240,632334,2,12,English
1,50036,19,15,4,58561,2,12,English
1,30341,13,89,64,749565,4,13,English
1,61841,17,183,64,907655,2,12,English
1,71033,22,17,16,160466,2,12,English
1,93905,6,53,96,841241,1,11,English
1,77379,48,201,16,361286,2,12,English
1,48328,26,125,32,173438,0,10,English
1,79849,48,141,16,931245,7,13,English
1,31503,13,299,240,503849,2,12,English
1,60609,17,31,16,5578,5,13,English
1,90057,6,37,4,441461,1,11,English
1,32404,12,5,16,141608,2,12,English
1,61548,17,203,64,720690,2,12,English
1,33126,12,86,96,821347,3,13,English
1,76164,48,439,16,794944,7,13,English
1,48746,26,157,240,22517,0,10,English
1,77076,48,201,32,873624,7,13,English
1,78557,48,215,16,1517,7,13,English
1,20783,24,33,64,785762,1,11,English
1,93219,6,107,240,385182,1,11,English
1,33311,12,11,240,147894,2,12,English
1,91367,6,37,16,824608,0,10,English
1,90006,6,37,240,75100,1,11,English
1,60623,17,31,4,460813,5,13,English
1,21237,24,5,16,937507,0,10,English
1,43230,39,49,64,581917,2,12,English
1,33013,12,86,240,477693,3,13,English
1,42718,21,217,64,927372,2,12,English
1,46910,18,49,240,705034,2,12,English
1,53593,55,25,4,595101,2,12,English
1,23223,51,87,4,902287,0,10,English
1,33015,12,86,64,523778,3,13,English
1,86303,4,25,64,687177,0,10,English
1,1453,25,27,4,536079,0,10,English
1,50216,19,77,4,40951,2,12,English
1,30040,13,117,4,799923,2,12,English
