strata,selprob,selprobf
0,.000031634252,.000031634252
1,.020545876,.020545876
2,.00018917522,.00018917522
3,.016181046,.016181046
4,.14932562,.14932562
5,.13207547,.13207547
6,.68627453,.68627453
7,.01809011,.01809011
